class,risk level,recommendation,message
Prodenia litura,شديد الخطورة,Emamectin benzoate أو Chlorantraniliprole أو Indoxacarb,سبودوبترا/دودة ورقية متعددة العوائل؛ تلتهم الأوراق والثمار وتنتشر سريعًا وقد تكون صعبة المكافحة.
Adristyrannus,طبيعي,,
Phyllocnistis citrella Stainton,شديد الخطورة,Abamectin أو Cyromazine أو Spinosad,صانعة أنفاق أوراق الموالح؛ اليرقات تحفر داخل نصل الورقة، فتشوه النموات الحديثة وتضعف الشتلات والأشجار الصغيرة.
Toxoptera citricidus,شديد الخطورة,Flonicamid أو Pirimicarb أو Acetamiprid,منّ الموالح البني؛ شديد الخطورة عالميًا لأنه ناقل فعال لفيروس tristeza في الموالح.
Toxoptera aurantii,شديد الخطورة,Flonicamid أو Pirimicarb أو Acetamiprid,منّ أسود/بني على الموالح ومحاصيل أخرى؛ يضعف النمو ويفرز عسلية وقد ينقل فيروسات نباتية.
Aphis citricola Vander Goot,شديد الخطورة,Flonicamid أو Pirimicarb أو Acetamiprid,منّ الموالح/التفاح؛ يهاجم النموات الحديثة ويشوه الأوراق، وقد يساهم في نقل فيروسات.
Scirtothrips dorsalis Hood,شديد الخطورة,Spinosad أو Spinetoram أو Abamectin,تربس الفلفل/الفلفل الحار؛ يسبب تشوهات شديدة في النموات والثمار، ويمثل خطرًا عاليًا في الصوب والخضر.
Dasineura sp,خطر,Cyromazine أو Spinosad أو Lambda-cyhalothrin حسب نوع اليرقة/الحشرة,
Lawana imitata Melichar,طبيعي,,
Salurnis marginella Guerr,طبيعي,,
Deporaus marginatus Pascoe,طبيعي,,
Chlumetia transversa,طبيعي,,
Mango flat beak leafhopper,خطر,Buprofezin أو Pymetrozine أو Acetamiprid,
Rhytidodera bowrinii white,طبيعي,,
Sternochetus frigidus,شديد الخطورة,Chlorantraniliprole أو Emamectin benzoate,سوسة المانجو/البذور؛ تهاجم الثمار والبذور وقد تسبب خسائر حجرية وتسويقية في المانجو.
Cicadellidae,شديد الخطورة,Buprofezin أو Pymetrozine أو Acetamiprid,نطاطات أوراق متعددة الأنواع؛ تمتص العصارة وبعضها ناقل لأمراض نباتية، وتحتاج تعريفًا أدق للنوع لتقدير الخطر.
